index	image	Word	uniqueID	display_label	recognizability_answer	recognizability_RT	recognizability_N-ratings	recognizability_N-correct	recognizability_N-most-common	recognizability_most-common-label	recognizability	recognizability_homonyms	recognizability_close	nameability_N-ratings	nameability_alternative-label	nameability_label1	nameability_label1_moreEdit	nameability_label2	nameability_most-frequent-rating	nameability_naming-consistency	nameability	nameability_SE	nameability_SE-naming-consistency	memorability_cr
10130	grass/grass_13s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grasshopper, grass, grass, grass, grass	2765, 5854, 4447, 3096, 5938, 10175, 19002, 6623, 22316, 3417, 9528, 12065 3999, 2247, 7096, 5812,	16	15	15	grass	0.9375	0.9375	1.0	17.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.642857143
10118	grass/grass_01b.jpg	grass	grass	grass	grass, grass, grass, grass, wheat, grass, grass, grass, grass, grass, grass, grass, grass, grass	4899, 6283, 2028, 25123, 26289, 5737, 7848, 4282, 6658, 24035, 5877, 7597, 4518, 4100	14	13	13	grass	0.928571429	0.928571429	0.928571429	19.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	nan	grass	1.0	1.0	0.0	0.0	0.825
10120	grass/grass_03s.jpg	grass	grass	grass	grass, grass, grass, grass, daisy, grass, grass, grass, grass, grass, grass, grass, grass, grass	3479, 3702, 3071, 10455, 6223, 12377, 186834, 2959, 5423, 4658, 3424, 3617, 3468, 6582,	14	13	13	grass	0.928571429	0.928571429	0.928571429	17.0	nan	field, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	field, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass	grasses	grass	0.941176471	0.941176471	0.057067206	0.057067206	0.731707317
10119	grass/grass_02s.jpg	grass	grass	grass	grass, grass, grass, grass, grass, grass, grass, rice, leaf, grass, grass, grass, grass, grass	3075, 4552, 2778, 3865, 2852, 5790, 3272, 45657, 6424, 2900, 21550, 7754, 3423, 3043,	14	12	12	grass	0.857142857	0.857142857	0.857142857	18.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, plant	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, plant	nan	grass	0.944444444	0.944444444	0.053990295	0.053990295	0.775
10132	grass/grass_15s.jpg	grass	grass	grass	grass, grass, grass, tree, grass, grass, grass, grass, grass, seed, grass, grass, grass, grass	6785, 2816, 4892, 5196, 26755, 4403, 6499, 2732, 5365, 11091, 4854, 15382, 3336, 9186,	14	12	12	grass	0.857142857	0.857142857	0.857142857	18.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, lawn	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, lawn	grass	grass	0.944444444	0.944444444	0.053990295	0.053990295	0.743589744
10122	grass/grass_05s.jpg	grass	grass	grass	grass, grass, tortilla, grass, grass, grass, plant, grass, grass, grass, grass, grass, grass, grass	5392, 8021, 6345, 7376, 3518, 6166, 66279, 4948, 3042, 8894, 3950 4382, 3214, 7392,	14	12	12	grass	0.857142857	0.857142857	0.857142857	17.0	nan	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, nature	grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, grass, nature	nan	grass	0.941176471	0.941176471	0.057067206	0.057067206	0.925
10844	hat/hat_03s.jpg	hat	hat	hat	hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	3829, 2088, 7943, 3990, 30091, 2091, 7299, 3662, 5293, 125612, 5276, 3853, 5191, 5638, 3048,	15	15	15	hat	1.0	1.0	1.0	19.0	nan	hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	sunglasses	hat	1.0	1.0	0.0	0.0	0.8
10842	hat/hat_01b.jpg	hat	hat	hat	hat, bowler hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	2340, 8885, 151377, 36087, 4582, 10242, 2824, 10043 5436, 2120, 2065, 4399, 4823, 5694,	14	13	13	hat	0.928571429	0.928571429	1.0	18.0	nan	fedora, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, trilby	fedora, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, trilby	nan	hat	0.888888889	0.888888889	0.074074074	0.074074074	0.794871795
10857	hat/hat_16s.jpg	hat	hat	hat	hat, hat, hat, hat, top hat, hat, hat, hat, hat, hat, hat	49433, 5350, 2214, 2281, 2972, 17797, 3735, 22062, 6588 3848, 3046,	11	10	10	hat	0.909090909	0.909090909	1.0	18.0	nan	fedora,hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	sunglasses	hat	1.0	1.0	0.0	0.0	0.7
10845	hat/hat_04s.jpg	hat	hat	hat	hat, hat, hat, hat, hat, hat, hat, hat, hat, top hat	9365, 5430, 3143, 2686 48687 28785, 5379, 38110, 2665, 3080,	10	9	9	hat	0.9	0.9	1.0	20.0	nan	cap, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	cap, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat, hat	table	hat	0.95	0.95	0.048733972	0.048733972	0.829268293
